time_step,fpr_baseline,fpr_hybrid,recall_baseline,recall_hybrid,fpr_reduction
35,0.0052,0.0,0.9615,0.9286,0.0052
36,0.003,0.0,1.0,0.9394,0.003
37,0.0,0.0,0.65,0.55,0.0
38,0.0,0.0,0.9009,0.8288,0.0
39,0.0045,0.0,0.9259,0.7901,0.0045
40,0.0064,0.0,0.6607,0.5804,0.0064
41,0.0039,0.0,0.9397,0.8879,0.0039
42,0.0047,0.0,0.7908,0.7531,0.0047
43,0.003,0.0,0.0,0.0,0.003
44,0.0147,0.0019,0.0417,0.0417,0.012799999999999999
45,0.0049,0.0,0.0,0.0,0.0049
46,0.0141,0.0014,0.5,0.5,0.0127
47,0.0024,0.0,0.0,0.0,0.0024
48,0.0046,0.0,0.0,0.0,0.0046
49,0.0143,0.0,0.0179,0.0179,0.0143
